District ID,Board Meeting URL Text,Board Meeting URL Link,Board Meeting Link Depth,youtube,vimeo,facebook,twitter,Agency Name,State Name,State Abbr,Agency ID,NumSchools,LowGrade,HighGrade,NumStudents,URL
5307710.0,Attend a School Board Meeting,https://www.seattleschools.org/about/school-board/meetings,0,,,0,0,SEATTLE SCHOOL DISTRICT NO. 1,Washington,WA ,5307710.0,109.0,Prekindergarten,12th Grade,51443.0,https://www.seattleschools.org
4825740.0,Board Meetings,https://www.kleinisd.net/district/board_of_trustees/board_meeting_dates,0,,,0,0,KLEIN ISD,Texas,TX ,4825740.0,52.0,Prekindergarten,12th Grade,53294.0,https://www.kleinisd.net
4835100.0,Board,https://www.pisd.edu/domain/10935,0,0,0,,0,PLANO ISD,Texas,TX ,4835100.0,79.0,Prekindergarten,12th Grade,49400.0,https://www.pisd.edu
4827300.0,,,,,,,,LEWISVILLE ISD,Texas,TX ,4827300.0,64.0,Prekindergarten,12th Grade,49205.0,https://www.lisd.net
4501440.0,Special Called Board Meeting,https://go.boarddocs.com/sc/charleston/board.nsf/goto?open&id=csqkf9512309,0,0,,0,0,CHARLESTON 01,South Carolina,SC ,4501440.0,82.0,Prekindergarten,12th Grade,49331.0,https://www.ccsdschools.com
3700011.0,,,,,,,,CUMBERLAND COUNTY SCHOOLS,North Carolina,NC ,3700011.0,89.0,Prekindergarten,13th Grade,48860.0,https://www.ccs.k12.nc.us
1100030.0,,,,,,,,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,District of Columbia,DC ,1100030.0,116.0,Prekindergarten,12th Grade,48635.0,https://www.schoolwithinschool.org
4703690.0,Board Meeting,https://www.rcschools.net/apps/events/2023/6/22/11343829/?rec_id=11343829&id=0,0,0,,0,0,RUTHERFORD COUNTY,Tennessee,TN ,4703690.0,51.0,Prekindergarten,12th Grade,49253.0,https://www.rcs.k12.tn.us
2601103.0,,,,,,,,DETROIT PUBLIC SCHOOLS COMMUNITY DISTRICT,MICHIGAN,MI ,2601103.0,110.0,Prekindergarten,12th Grade,48536.0,https://www.detroitk12.org
4840710.0,Meeting Minutes,https://www.sisd.net//www.sisd.net/page/702,0,0,,0,0,SOCORRO ISD,Texas,TX ,4840710.0,52.0,Prekindergarten,12th Grade,47278.0,https://www.sisd.net
634410.0,Video Recording,https://youtu.be/-h6u7lcf20s,2,0,,0,0,SAN FRANCISCO UNIFIED,California,CA ,634410.0,113.0,Kindergarten,12th Grade,49204.0,https://www.sfusd.edu
4823910.0,Board Meetings,https://www.humbleisd.net/domain/13004,0,0,,0,0,HUMBLE ISD,Texas,TX ,4823910.0,49.0,Prekindergarten,12th Grade,48112.0,https://www.humbleisd.net
4838080.0,Board meetings and agendas,https://roundrockisd.org/about-rrisd/board-of-trustees/board-meetings,0,0,,0,,ROUND ROCK ISD,Texas,TX ,4838080.0,59.0,Prekindergarten,12th Grade,47167.0,https://www.roundrockisd.org
2012990.0,BOE Meetings: Agendas and Minutes,https://www.usd259.org/page/7121,1,0,,0,0,WICHITA,Kansas,KS ,2012990.0,88.0,Prekindergarten,12th Grade,46657.0,https://www.usd259.org
4502490.0,Board Meeting Schedule,https://www.horrycountyschools.net/page/74,2,0,,0,0,HORRY 01,South Carolina,SC ,4502490.0,57.0,Prekindergarten,12th Grade,46551.0,https://www.horrycountyschools.net
2502790.0,Video,https://www.bostonpublicschools.org/domain/2507,0,0,,0,0,BOSTON,Massachusetts,MA ,2502790.0,113.0,Prekindergarten,12th Grade,46169.0,https://www.bostonpublicschools.org
1201050.0,Board Meeting Agendas,https://www.lake.k12.fl.us/school-board/board-meetings,0,0,,0,0,LAKE,Florida,FL ,1201050.0,60.0,Prekindergarten,12th Grade,45845.0,https://www.lake.k12.fl.us
